path,xmin,ymin,xmax,ymax,height
trafficlight0117.jpg,65,27,83,60,trafficlight
trafficlight0077.jpg,475,80,493,125,trafficlight
trafficlight0063.jpg,2401,714,2477,872,trafficlight
trafficlight0063.jpg,2435,906,2488,970,trafficlight
trafficlight0063.jpg,441,404,517,564,trafficlight
trafficlight0063.jpg,983,438,1054,596,trafficlight
trafficlight0063.jpg,1835,754,1901,898,trafficlight
trafficlight0088.jpg,333,184,388,280,trafficlight
trafficlight0088.jpg,500,263,531,321,trafficlight
trafficlight0088.jpg,430,359,452,398,trafficlight
trafficlight0088.jpg,419,302,440,352,trafficlight
trafficlight0249.jpg,666,135,687,177,trafficlight
trafficlight0260.jpg,620,71,664,168,trafficlight
trafficlight0274.jpg,397,204,437,258,trafficlight
trafficlight0274.jpg,1422,145,1474,204,trafficlight
trafficlight0089.jpg,666,243,712,345,trafficlight
trafficlight0089.jpg,403,258,425,297,trafficlight
trafficlight0089.jpg,311,289,325,318,trafficlight
trafficlight0062.jpg,92,62,218,395,trafficlight
trafficlight0076.jpg,348,111,357,127,trafficlight
trafficlight0076.jpg,423,134,430,149,trafficlight
trafficlight0116.jpg,162,51,184,99,trafficlight
trafficlight0116.jpg,474,52,497,100,trafficlight
trafficlight0116.jpg,357,161,370,184,trafficlight
trafficlight0102.jpg,75,50,134,183,trafficlight
trafficlight0300.jpg,1387,121,1456,189,trafficlight
trafficlight0300.jpg,497,162,570,221,trafficlight
trafficlight0114.jpg,469,118,697,770,trafficlight
trafficlight0114.jpg,209,553,442,779,trafficlight
trafficlight0100.jpg,140,56,265,473,trafficlight
trafficlight0128.jpg,150,7,247,128,trafficlight
trafficlight0060.jpg,433,142,453,186,trafficlight
trafficlight0060.jpg,775,95,802,162,trafficlight
trafficlight0074.jpg,756,786,842,969,trafficlight
trafficlight0048.jpg,287,59,302,93,trafficlight
trafficlight0048.jpg,484,66,502,84,trafficlight
trafficlight0277.jpg,208,191,268,246,trafficlight
trafficlight0277.jpg,1370,123,1432,200,trafficlight
trafficlight0277.jpg,1593,100,1649,181,trafficlight
trafficlight0049.jpg,1836,1355,2112,2071,trafficlight
trafficlight0049.jpg,2636,1163,2882,1702,trafficlight
trafficlight0049.jpg,1143,1963,1366,2602,trafficlight
trafficlight0049.jpg,2451,1879,2689,2502,trafficlight
trafficlight0075.jpg,251,79,323,258,trafficlight
trafficlight0075.jpg,675,78,747,256,trafficlight
trafficlight0075.jpg,1107,73,1180,258,trafficlight
